FLAG	KEY	EN	FR	ES	IND	KM	AR	TR	ET	RU	GE	HU	IT	SR	ZH	DE
PHP	_CONTROLER_NOT_FOUND_	Controler not found.	Controler pas trouvé	No se encuentran el controler	Pengontrol tidak ditemukan	Controler not found.	لم يتم العثور على المراقب.	Kontrol birimi bulunamadı.	Kontrollerit ei leitud	Контроллер не найден	მარეგულირებელი არ არის ნაპოვნი	Controler nem található	Controllore non trovato	Kontrolor nije pronađen	找不到指令	Controler nicht gefunden
JS	_DAY_S__	Day(s):	Jour(s):	Día(s):	Hari:	Day(s):	يوم (أيام):	Gün:	Päev(ad):	День (дни):	დღე (ები)	Nap(ok):	Giorno/i:	Dan/i	天	Tag(e)
JS	_MONTH_S__	Month(s):	Mois:	Mes:	Bulan:	Month(s):	شهر (أشهر):	Ay:	Kuu(d):	Месяц(ы):	თვე (ები)	Hónap(ok):	Mese/i:	Mesec/i	月	Monat(e)
JS	1ST_LEVEL	1st Level	Premier niveau	Primer nivel	Tingkat 1	កំរិតទី ១	المستوى الأول	1. Seviye	Esimene tase	1-й уровень	1-ლი დონე	1. szint	1° Livello	Prvi nivo	第一级	1.Stufe
JS	2ND_LEVEL	2nd Level	Deuxième niveau	Segundo nivel	Tingkat 2	កំរិត​ទី ២	المستوى الثاني	2. Seviye	Teine tase	2-й уровень	მე-2 დონე	2. szint	2° Livello	Drugi nivo	第二级	2. Stufe
JS	3RD_LEVEL	3rd Level	Troisième niveau	Tercer nivel	Tingkat 3	កំរិត​ទី​៣	المستوى الثالث	3. Seviye	Kolmas tase	3-й уровень	მე-3 დონე	3. szint	3° Livello	Treći nivo	第三级	3. Stufe
PHP	404_ERROR___PAGE_NOT_FOUND	404 Error : Page Not Found	Erreur 404: page non trouvée	Error 404: No se encuentra la página	404 Error: Halaman tidak ditemukan	បញ្ហា​៤០៤៖ មិន​មាន​ទំព័រ​នេះ​ទេ	خطأ رقم 404: الصفحة غير موجودة	404 Hata: Sayfa Bulunamadı	Viga 404: Lehekülge ei leitud	Ошибка 404: Страница не найдена	404 შეცდომა: გვერდი არ არის ნაპოვნი	404-es hiba: az oldal nem található	404 Error: Page Not Found	Greška 404: stranica nije pronađena	404错误：找不到网页	404 Fehler: Seite nicht gefunden
JS	4TH_LEVEL	4th Level	Quatrième niveau	Cuarto nivel	Tingkat 4	កំរិត​ទី​៤	المستوى الرابع	4. Seviye	Neljas tase	4-й уровень	მე-4 დონე	4. szint	4° Livello	Četvrti nivo	第四级	4.Stufe
JS	5TH_LEVEL	5th Level	Cinquième niveau	Quinto nivel	Tingkat 5	កំរិត​ទី​៥	المستوى الخامس	5. Seviye	Viies tase	5-й уровень	მე-5 დონე	5. szint	5° Livello	Peti nivo	第五级	5. Stufe
JS	6TH_LEVEL	6th Level	Sixième niveau	Sexto nivel	Tingkat 6	កំរិត​ទី​៦	المستوى السادس	6. Seviye	Kuues tase	6-й уровень	მე-6 დონე	6. szint	6° Livello	Šesti nivo	第六级	6.Stufe
PHP	ACL_MODE	ACL Mode	Mode ACL	Modo ACL	Mode ACL	ទំរង់​ACL	وضع ACL (قائمة التحكم بالوصول)	ACL Modu	ACL olek	Режим списка управления доступом	ACL რეჟიმი	ACL mód	ACL Mode	ACL način	ACL 模式	ACL Modus
